user,rating,comment,ID,Sentiment,compound,sentiment,Neutral,Positive,Negative
seminaryzack,10,"I purchased this in April 2014 and I taught it as a new release game featured at LexiCon Gaming Convention in Lexington, KY on May 2014.  This is a simple but elegant engine building game with cool thick poker chip components that represent various precious gems.  The Renaissance European styled art fits the overdone ""trading luxury goods in the Mediterranean region"" quite nicely but the gameplay is solid and simple to teach and difficult to master.  This is a gem of a game in my collection and I hope to get it to the table many times during the holiday break.  ",148228,,0.9735,positive,79,20,0
Zinrokh,10,nan,148228,,0,neutral,79,20,0
SnowcatAssassin,10,nan,148228,,0,neutral,79,20,0
Naro,10,nan,148228,,0,neutral,79,20,0
nullity66,10,nan,148228,,0,neutral,79,20,0
turtleback,10,"Simple game, but still adds a lot of decisions.  Pretty much a perfect engine building game.  Terrific components.  Satisfying to play.",148228,,0.9705,positive,79,20,0
StckFigure,10,nan,148228,,0,neutral,79,20,0
Mr Franks 71,10,"What an amazing game. My kids love it, my girl- friend love it and I love it, too. So easy and so much fun! Absolutely excellent! Great start for the New Company Space Cowboys. Well done, sirs!",148228,,0.9904,positive,79,20,0
derekbturner,10,nan,148228,,0,neutral,79,20,0
Xelforp,10,"A perfect game for the casual group; quick and simple rules, yet some decision to be made during game play.",148228,,0.7845,positive,79,20,0
The Shat,10,nan,148228,,0,neutral,79,20,0
bdevost,10,nan,148228,,0,neutral,79,20,0
Jethrone,10,nan,148228,,0,neutral,79,20,0
emichaelsen52,10,nan,148228,,0,neutral,79,20,0
Arch1200,10,nan,148228,,0,neutral,79,20,0
treece keenes,10,nan,148228,,0,neutral,79,20,0
b0ardgamer,10,"My most-played game. Reading the rules you could be forgiven for thinking there isn't much to the game, and while that is probably true, it's still a tense race to the finish line.",148228,,0.4588,positive,79,20,0
net384,10,nan,148228,,0,neutral,79,20,0
ScatteredMind,10,nan,148228,,0,neutral,79,20,0
Bartoman,10,nan,148228,,0,neutral,79,20,0
mkotsalainen,10,nan,148228,,0,neutral,79,20,0
okraska,10,nan,148228,,0,neutral,79,20,0
Laszlosaurus,10,nan,148228,,0,neutral,79,20,0
Jsalais,10,nan,148228,,0,neutral,79,20,0
Rococo_Zephyr,10,nan,148228,,0,neutral,79,20,0
jsalyers1,10,nan,148228,,0,neutral,79,20,0
crazycatlady,10,nan,148228,,0,neutral,79,20,0
WarhogZ5,10,nan,148228,,0,neutral,79,20,0
Shangrilapanda,10,nan,148228,,0,neutral,79,20,0
yo_plado,10,nan,148228,,0,neutral,79,20,0
acepinoy101,10,nan,148228,,0,neutral,79,20,0
sanyi150,10,nan,148228,,0,neutral,79,20,0
ryota,10,nan,148228,,0,neutral,79,20,0
punkysfan,10,nan,148228,,0,neutral,79,20,0
ayakee,10,Love the simpleness of the game. My group liked how we can just take it out and play it continuously for a long time.,148228,,0.8555,positive,79,20,0
bigmikew,10,nan,148228,,0,neutral,79,20,0
Meepill,10,nan,148228,,0,neutral,79,20,0
goserelin,10,nan,148228,,0,neutral,79,20,0
DirkDeBelg,10,nan,148228,,0,neutral,79,20,0
GuiltyBystander,10,nan,148228,,0,neutral,79,20,0
Firedemon,10,nan,148228,,0,neutral,79,20,0
DrWu,10,nan,148228,,0,neutral,79,20,0
Draknodred,10,nan,148228,,0,neutral,79,20,0
Sam Houston,10,nan,148228,,0,neutral,79,20,0
carek,10,nan,148228,,0,neutral,79,20,0
barnziee,10,nan,148228,,0,neutral,79,20,0
Taxers,10,nan,148228,,0,neutral,79,20,0
Matt_gday,10,nan,148228,,0,neutral,79,20,0
Jcronin72,10,nan,148228,,0,neutral,79,20,0
wejejeei,10,nan,148228,,0,neutral,79,20,0
fcoe,10,nan,148228,,0,neutral,79,20,0
boardgamebahrain,10,Played this so many times and I can't stop! It's just awesome! Thinking of what to buy and planning out your plan is what keeps me coming back to this!,148228,,0.8506,positive,79,20,0
BaraBob,10,nan,148228,,0,neutral,79,20,0
cova88,10,nan,148228,,0,neutral,79,20,0
BoardGamer2008,10,nan,148228,,0,neutral,79,20,0
NotChavo,10,nan,148228,,0,neutral,79,20,0
4rest,10,nan,148228,,0,neutral,79,20,0
Brandaniel,10,nan,148228,,0,neutral,79,20,0
blessedexchequer,10,nan,148228,,0,neutral,79,20,0
LordYupa,10,nan,148228,,0,neutral,79,20,0
PocketAtomic,10,nan,148228,,0,neutral,79,20,0
MontyBell,10,nan,148228,,0,neutral,79,20,0
gecko1919,10,nan,169786,,0,neutral,79,20,0
the pete,10,"Collector's Edition #9377  Initial impression: exquisite.  Gorgeous production, fascinating gameplay, rock-solid rulebook.  Worth every penny.  An easy rating of nine after a few plays, with potential to get higher than that.  Lasting impression:  Love it.  One of the absolute centerpieces of my collection.  Great fun at any player count and lots of incentives to pursue different strategies each time.  And I doubt I'll ever own another game that looks as good as this one does.",169786,,0.984,positive,79,20,0
gab4tac,10,This game has replaced Clash of Cultures for myself. My go to civ game from now on.,169786,,0,neutral,79,20,0
DE3rules,10,nan,169786,,0,neutral,79,20,0
saxsoulo,10,1-7p Sleeves Legendary Box Automa in base game box,169786,,0,neutral,79,20,0
joelpetersen,10,Jamey Stegmaier sure knows how to make a great themstic engine builder.   Upped my rating to a 10. Keeps getting better play after play,169786,,0.9201,positive,79,20,0
crwills,10,Kickstarted.,169786,,0,neutral,79,20,0
igotdvds,10,https://www.kickstarter.com/projects/jameystegmaier/scythe,169786,,0,neutral,79,20,0
ScottNotSteve,10,nan,169786,,0,neutral,79,20,0
vhaeraun666,10,nan,169786,,0,neutral,79,20,0
MylesONeill,10,nan,169786,,0,neutral,79,20,0
petejacko,10,nan,169786,,0,neutral,79,20,0
AlexMoreau,10,nan,169786,,0,neutral,79,20,0
Triceranuke,10,nan,169786,,0,neutral,79,20,0
primtim34,10,nan,169786,,0,neutral,79,20,0
aserenil,10,nan,169786,,0,neutral,79,20,0
ChewyTKE609,10,nan,169786,,0,neutral,79,20,0
nyrdug,10,Backed on KS.,169786,,0.0258,neutral,79,20,0
Goreyok,10,nan,169786,,0,neutral,79,20,0
pdrseuss,10,"I'm amused at what this game is not. Scythe is purely not a worker placement, not a 4X game, not a war-game, not a race to 6 stars/objectives, not an engine-builder, not an area control game, not a trading-in-the-Mediterranean game, not a resource management game. . . , YET, it has a wonderful blend of all of it!! Even the stuff I'm not fond of (i.e. area contol), I love in this game!  Yup! This game hits me just right! Once you start playing, things start clicking. The theme shines through without being annoying, mostly because of the beautiful artwork and the thoughtful alternate-historical details. Learning curve, but an engaging one I hope. Much replayability. Games can go fast once players know what's going on. Perhaps some downtime, thus AP alert, but this can help when people need the off-time to figure out their plans. Many strategic and tactical decisions. Very decent 2-player, but the game changes a bit as the board fills up more with more players.  Reminds me a little of Nexus Ops and Antike. I don't believe it's as heavy as people say. Though people are complaining that the starting conditions for each player spoon-feed you on the strategy you need to follow, I don't feel that to be a negative for me because I still need to work any strategy around what others are doing in order to win; that is, I'm still using my brain and creativity, and still having fun.   I can't wait to try out the Automa, and the expansion(s).",169786,,0.9844,positive,79,20,0
Bagherra,10,nan,169786,,0,neutral,79,20,0
peculiii,10,nan,169786,,0,neutral,79,20,0
nightcrawler711,10,nan,169786,,0,neutral,79,20,0
Chrisgmay,10,nan,169786,,0,neutral,79,20,0
Paladins_Angel,10,nan,169786,,0,neutral,79,20,0
maddhattr,10,nan,169786,,0,neutral,79,20,0
rruhlman217,10,nan,169786,,0,neutral,79,20,0
joecolade,10,nan,169786,,0,neutral,79,20,0
kennigo,10,nan,169786,,0,neutral,79,20,0
brad77,10,nan,169786,,0,neutral,79,20,0
Chevalier,10,nan,169786,,0,neutral,79,20,0
JohnnyD,10,A true gem!  I had to change my earlier rating of 7.  This game just plays well on its own but blossoms with the expansions.  EDIT: My rating has changed to a 10!  This game has it all for me and its always refreshing to play.  The expansions compliment an already great game!,169786,,0.9567,positive,79,20,0
deucemckenzie,10,nan,169786,,0,neutral,79,20,0
brenmcgovern,10,Whoa..,169786,,0,neutral,79,20,0
Firetracker,10,nan,169786,,0,neutral,79,20,0
geekhype,10,Own all expansions to date + Legendary Box.,169786,,0,neutral,79,20,0
HyperionHuxley,10,":) Well balanced and has a large and interesting decision space.  :) Production quality is excellent, especially with the metal coins and realistic resources of the Collector's Edition.  :) The Automa solo mode is absolutely amazing.   :soblue: I wish defenders didn't receive combat stars.",169786,,0.9774,positive,79,20,0
chiefsachem,10,Not for Trade.,169786,,0,neutral,79,20,0
jamjams32,10,nan,169786,,0,neutral,79,20,0
Nefedis,10,nan,169786,,0,neutral,79,20,0
mikeamills,10,nan,169786,,0,neutral,79,20,0
ikitikat,10,nan,169786,,0,neutral,79,20,0
triplzero,10,nan,169786,,0,neutral,79,20,0
mcuetov,10,nan,169786,,0,neutral,79,20,0
Fehu,10,"Best game played in the past few years. Deep and satisfying without being uselessly complicated and painfully long. Easy to teach, easy to learn. Great longevity. And on top of that all, it looks just gorgeous.",169786,,0.972,positive,79,20,0
Adria,10,nan,169786,,0,neutral,79,20,0
skifreak737,10,Collector's Edition KS. Wow. Looking forward to digging into this one. Outstanding production and game. Will probably make my Top Ten.,169786,,0.8625,positive,79,20,0
NKOUK7,10,nan,169786,,0,neutral,79,20,0
juco,10,"I like this game. Theme and art is great. Jakub Rozalski art is really nice.  Game has quite easy rules to learn and teach, but same time it has lot of mechanics and ways to win. Simple rules but deep game. It takes about 2 hours to play with 5 persons which is nice playing time.",169786,,0.9686,positive,79,20,0
MAJBrown22,10,"An absolute masterpiece. The best components I've ever seen in a game, simple yet engaging gameplay, deep strategic decision-making. This is the only game in my collection that I'd consider calling an heirloom. A home run with every group, the automa solo deck is just icing on the cake.  2016's game of the year and the very best game that I've ever played!  Collector's Edition #8790/11320",169786,,0.9558,positive,79,20,0
Vindeux,10,nan,169786,,0,neutral,79,20,0
evidence,10,weight: 3.36,169786,,0,neutral,79,20,0
Tinkerhd,10,"My 25th play was my first with a production copy. The gameplay was already top notch, and the fantastic production seals my love for it. More a euro with the ever present threat of war than a true waro. Saving military victories for the endgame is an important strategic consideration. However, you could beat each other to death with this game if your group were into that sort of thing. The heart of the game is in the way its structures interaction between players. The map and tech progression work together to create a watchful but safe early game for getting an engine going. The midgame sees players crossing out of their own territories to rub elbows on the mainland. Then the end game sees players either rushing for safe ground or chaotically clashing in battle to place last stars and expand. I have wanted one game to fill that Euro Trash niche. This is it. And my fancy version is easily the prettiest game I've ever played. Is it the best game? One of them, but not quite ""the game."" It's going to be my go-to for a lot of guests. But I think Caylus and Agricola are still holding the crowns.",169786,,0.9818,positive,79,20,0
elmotoja,10,nan,169786,,0,neutral,79,20,0
hxbx,10,"Great Weuro! I thought I would like this & I do.  I got more excited as I read the rule book - it has all the stuff I love in games: variable powers, encounters, fast turns, clever end condition, combat/threat with resource management, and the list goes on.  I've played with every player count now & it's great.  This now rates a 10.  Errata: 'unprotected' workers retreat immediately (allowing another mech/character to move through.  Also, consider banning Rusviet-Industrial & Crimea-Patriotic",169786,,0.9753,positive,79,20,0
Maestious,10,nan,169786,,0,neutral,79,20,0
razordaze,10,nan,169786,,0,neutral,79,20,0
Namake,10,nan,169786,,0,neutral,79,20,0
Aragorn01,10,nan,169786,,0,neutral,79,20,0
OzarkSavage,10,nan,169786,,0,neutral,79,20,0
stenmur,10,Excellent game. Love the different factions and how they all play very differently.  Painted,169786,,0.8834,positive,79,20,0
TheCrazyPiper,10,"July 2016. My first real Kickstarter! I was concerned that it wouldn't live up to the hype, but I'm happy to report that it met and exceeded my expectations. This is one of my favorite games right now. I look forward to playing it many more times over the years. July 2016  Returned rating to a 10. I've played 6 solo games, which is pushing it back up for me. I don't usually care about solo gaming that much, but with my limited time lately, it's nice to be able to knock out a game in the evening in about 90 minutes including setup and breakdown. August, 2016.  I'm still in love with this game. I haven't been able to play for over a month, but still have TWENTY NINE plays so far this year (that's just from late July through late October!). Solo mode has been great. I've also been solo-testing a campaign I've designed, playing 4-player games by myself. I've gotten a ton of use out of this, and I truly regret not going all-in on the Kickstarter. I've ordered the metal coins, and maybe someday I'll get the realistic resources. I love this game so much. December 4, 2016",169786,,0.9912,positive,79,20,0
ocbrad,10,nan,169786,,0,neutral,79,20,0
justingus25,10,nan,169786,,0,neutral,79,20,0
coolin86,10,nan,169786,,0,neutral,79,20,0
fbi_boy,10,nan,169786,,0,neutral,79,20,0
Summtgguy,10,nan,169786,,0,neutral,79,20,0
GameplayerOfTitan,10,nan,169786,,0,neutral,79,20,0
youthguyingram,10,My new favorite game!,169786,,0.5093,positive,79,20,0
Alan Stern,10,"I absolutely love this game!  It strikes an excellent balance between planning (strategy) and response (tactics).  I like how the combat/pvp nature of the game is well balanced - there is such a dual-edged nature to combat that players think long and hard before committing to them and it can be strategically advantageous to eat a loss rather than over commit and obtain a victory.  In addition (and this is for games of 3+ players), you have to consider how winning 1 combat weakens your overall ability to defend yourself and opens you up to combat from other players.  It really is well done.  I also like the engine building.  It's not a complicated engine, but the operations required to establish the engine and utilize it are varied enough that players have many choices to make.  In addition, those choices tend to be very deep - they are the tip of the iceberg, a snowball that may or may not lead to the ultimate goal (global world domination or something like that).  It's the depth of gameplay that keeps me coming back.  I like the dual nature of upgrades.  You uncover a benefit and cover a cost.  It's such a nice way of offering compelling, meaningful choices with real consequences.  The variance in starting position/mats is fantastic!  The combination of faction + player mat makes for some real differences in terms of the best strategy to utilize.  And then you have to consider the goals, which may or may not be worth pursuing.  Plenty of choices!  I love the art in this game.  Pastoral and very thematic.  The illustrations help frame the game in a larger context.  It wasn't strictly necessary, and not everyone likes or enjoys it, but I think it adds character to the bigger package and presentation.  Production value is excellent!  Even the base game is high quality.  The additional pieces (metal coins, board extension, realistic resource tokens) are much appreciated!  I strongly recommend using glass markers/beads in place of the cardboard exploration tokens.  The cardboard tokens get lost among the board's colorful artwork.  3d beads are *MUCH* easier to see and improve gameplay.  My primary criticism is that games will often end with an unequal number of turns.  This is something that [u][url=https://boardgamegeek.com/article/23299059#23299059]I discussed in the forums[/url][/u].  I have two ""answers"" for this point.  My first inclination, as suggested by sethvanorden in that thread, is to use turn order as a handy cap modifier.  Very easy and very understandable.  My second thought is to give a small compensation to those players who received one less turn - an award on the order of 5 coins or so.  Small, insufficient, but enough to reduce the sting and say ""I feel your pain but I'm not giving you 100% insurance coverage.""  I think either or both of those will help.  Overall, this is just a fantastic game.  I think there's enough depth to keep me interested for a long time without overwhelming players.  Also, the play time hits a sweet, [i]sweet[/i] spot - 2 hours once people are familiar.  There are potential swings and not everything is 100% balanced, but it shouldn't be.  This is not a pure abstract - it's a thematic euro.  You want it unbalanced enough to provide options, but not so off-kilter that the whole system wobbles out of control.  And it hits that spot beautifully.  Try it.  [gameid=169786] may or may not be your cup o' tea, but I'd give it better than even odds that you see and appreciate at least some of its carefully crafted beauty.",169786,,0.9988,positive,79,20,0
cowmansr,10,nan,169786,,0,neutral,79,20,0
Ringo_Stalin,10,nan,169786,,0,neutral,79,20,0
ditterio,10,nan,169786,,0,neutral,79,20,0
zlosny,10,Sleeved,169786,,0,neutral,79,20,0
broggi,10,nan,169786,,0,neutral,79,20,0
kikaytete,10,7-2 78%,169786,,0,neutral,79,20,0
Mestremuten,10,Rating: 5/5 Production value: 4/4 Is the game in my collection/Love to have?: 1/1,169786,,0.34,positive,79,20,0
FCorsaro,10,nan,169786,,0,neutral,79,20,0
TylerGoble1,10,Collector's Edition,169786,,0,neutral,79,20,0
Brius,10,nan,169786,,0,neutral,79,20,0
cdarlage,10,"Pictures and videos don't do this game justice.  It is absolutely stunning.  Oh yeah, the gameplay is fantastic as well.  An all-time great for me. Plays great solo.",169786,,0.974,positive,79,20,0
pjolmstead,10,nan,169786,,0,neutral,79,20,0
tarod83,10,Credited as English proofreader  [microbadge=17587] edition,169786,,0.3612,positive,79,20,0
havoctimmo,10,nan,169786,,0,neutral,79,20,0
creator1113,10,nan,169786,,0,neutral,79,20,0
Rowulf,10,nan,169786,,0,neutral,79,20,0
destark,10,nan,169786,,0,neutral,79,20,0
MarcoGreen,10,nan,169786,,0,neutral,79,20,0
Joellenbecker,10,nan,169786,,0,neutral,79,20,0
Daveor,10,nan,169786,,0,neutral,79,20,0
Ving,10,nan,169786,,0,neutral,79,20,0
soulcircus,10,nan,169786,,0,neutral,79,20,0
Emperor Spot,10,My favorite game of all time.,169786,,0.4588,positive,79,20,0
TheWTM,10,nan,169786,,0,neutral,79,20,0
tatertotmonkey,10,nan,169786,,0,neutral,79,20,0
desvergeh,10,nan,169786,,0,neutral,79,20,0
Damlog,10,nan,169786,,0,neutral,79,20,0
_pocks,10,"A hefty box with a lot of game inside. I don't think I will tire playing this game, as it's just so engaging yet fun to play.",169786,,0.8714,positive,79,20,0
Domi4,10,nan,169786,,0,neutral,79,20,0
skreddern,10,nan,40692,,0,neutral,67,31,2
hasoere,10,nan,40692,,0,neutral,67,31,2
joshp,10,"Great theme, easy to learn, lots of variety, and loads of fun. Races and powers can be unbalanced, but in a big game this is self-correcting, because players form alliances to stop a runaway leader. I enjoy this for the same reasons I like Cosmic Encounter.",40692,,0.886,positive,67,31,2
killjoy00,10,nan,40692,,0,neutral,67,31,2
tinpot,10,Just what we where looking for. A fast simple game that involves killing things.,40692,,-0.6597,negative,67,31,2
Nikku,10,"Funny, beautiful theme. Variable player powers. Max 4 pages of rules. Plays within the hour for very experienced players. Scales well from 2-5. Is very easy to teach.  It's almost as light as a filler, although the player interaction adds plenty of depth. The game plays along quick with not much downtime. It's very easy to teach, and players can play for the win from game #1.  This has quickly become one of my favorite games, although I'm curious to it's staying power in the long run. We'll see ...",40692,,0.9814,positive,67,31,2
Camel,10,"Based on several plays I must say I'm impressed. Days of Wonder have always been one of my favorite game companies when in comes to high-end quality components (regarding both the creativity and quality of these) and story-enhancing elements (you actually PLAY and make up stories when you play their game, instead of just trying to win), and this is no exception. So even though they might ""just"" have picked up an old game (""Vinci"", which I have actually never played) and copied the mechanics almost completely down to the last detail, they have done so masterfully. Definitely a must have for the collection. The expansions just makes it even more perfect",40692,,0.9638,positive,67,31,2
seaapple,10,nan,40692,,0,neutral,67,31,2
Mike no1,10,Better than Vinci. Love the dice that gives you an extra boost. It indroduces a bit of Luck. It scales well thanks to the extra board that's included.,40692,,0.9501,positive,67,31,2
TyrTiuLiu,10,Solid.,40692,,0.1531,positive,67,31,2
cayluster,10,"When this was first announced, I thought it was a must-have, and almost pre-ordered it.  After reading some more and considering, I changed my mind about it.  And it stayed changed until my birthday, when I got it along with Cavum and La Citta.  I don't know why I resisted for so long.  Worried it would be too simple?  Turned off by the juvenile fantasy theme?  Maybe.  But the fact of the matter is, Small World is great.  Amazingly addictive, the playing time hits a sweet spot (45min-1hr).  And I always want to play it - it never gets old, thanks to the myriad possible race/abilities combo.  It's one of those rare games that is both a lot of fun, pretty to look at, and easy to learn while at the same time being quite deep.  I'm even into the theme and the races - it's all good, clean, fun that couldn't be juvenile if it tried, simply because the game behind the theme is so good.  Scales amazingly.  Has one of the best inserts out there - it's obvious DoW takes much care with their work.  Seriously, if you don't own this game, go out and buy it.  My 2009 Game of the Year.",40692,,0.9948,positive,67,31,2
jmuscold,10,nan,40692,,0,neutral,67,31,2
PghArch,10,"Fixes every little niggle with another of my favorite games: Vinci.  Fun, thought provoking and re-playable.  A hit.",40692,,0.6705,positive,67,31,2
druid4k,10,nan,40692,,0,neutral,67,31,2
rvinyard,10,nan,40692,,0,neutral,67,31,2
OrangeCat X,10,AMAZING!   This is a game that both my hardcore gamer friends AND MY WIFE like!!! O.o  Do you know how RARE that is?!?!,40692,,0.897,positive,67,31,2
atomike,10,nan,40692,,0,neutral,67,31,2
Sparhawk,10,nan,40692,,0,neutral,67,31,2
tcamprubi,10,Love this one!,40692,,0.6696,positive,67,31,2
Canadian Pittbull,10,nan,40692,,0,neutral,67,31,2
Weaselboy,10,nan,40692,,0,neutral,67,31,2
coozz,10,Excellent light medium weight game.,40692,,0.5719,positive,67,31,2
totoRDG,10,nan,40692,,0,neutral,67,31,2
Oliv,10,nan,40692,,0,neutral,67,31,2
Ryson282,10,nan,40692,,0,neutral,67,31,2
rg258,10,nan,40692,,0,neutral,67,31,2
lchtommytw,10,nan,40692,,0,neutral,67,31,2
lch630828,10,nan,40692,,0,neutral,67,31,2
mcannos,10,"Tons of conflict, good for 2-5, very pretty, close finishes, hard decisions, diplomacy, replayability, comedy theme - though rather fiddly. The lack of balance is marked in 2 player games, but in 3-5 - look out if you get what is perceived as a killer attacking combo: you're going to get pounded! Great family game, good laughs.  Picked it up cheap on iPad; eliminates fiddliness but the AI is weak; it is totally inept against an aggressive opponent and it is essentially trivial to win games by scorelines of about 100-60 by going on all-out attack. Update to Small World 2 pretty great; still easy in 2-player but gets more challenging and thinky with more players, because the aggressive approach described above collapses. Have upgraded my rating to 10 on replayability of app; have played hundreds of games against the computer as a few minute timekiller, and I still enjoy it.",40692,,0.9751,positive,67,31,2
olsen84,10,nan,40692,,0,neutral,67,31,2
IngarsE,10,nan,40692,,0,neutral,67,31,2
joelbear,10,nan,40692,,0,neutral,67,31,2
qute,10,nan,40692,,0,neutral,67,31,2
maui059,10,nan,40692,,0,neutral,67,31,2
tyranid,10,nan,40692,,0,neutral,67,31,2
spinli,10,nan,40692,,0,neutral,67,31,2
jcmarcano,10,nan,40692,,0,neutral,67,31,2
line0042,10,nan,40692,,0,neutral,67,31,2
CastDie,10,nan,40692,,0,neutral,67,31,2
mabell_yah,10,nan,40692,,0,neutral,67,31,2
zerg,10,nan,40692,,0,neutral,67,31,2
avlawn,10,"hurm.  the gameplay changes between this and Vinci are generally good.  almost every change is towards a cleaner, quicker, smoother game.  then... the graphic design clutters up the board, and the game slows down and becomes -harder- than vinci when you try to track who is who, and what the various races are scoring.  needs another play or three to see, but the inelegance of the board is starkly contrasted to the elegant rules...  --  and after the above, I heartily recommend you get another game, pull player colors out and use them to mark your territories.  It fixes all of my issues with the above and takes the game from taxing to fun.  Silly how a simple thing can make such a big change.",40692,,0.9432,positive,67,31,2
dokis,10,nan,40692,,0,neutral,67,31,2
Xedi,10,nan,40692,,0,neutral,67,31,2
PowrDragn,10,nan,40692,,0,neutral,67,31,2
Glad8r,10,nan,40692,,0,neutral,67,31,2
Milkman Cometh,10,Excellent fantasy game.,40692,,0.5719,positive,67,31,2
D0NK1J0T3,10,nan,40692,,0,neutral,67,31,2
MartinStever,10,nan,40692,,0,neutral,67,31,2
onedurbred,10,nan,40692,,0,neutral,67,31,2
hrgames,10,nan,40692,,0,neutral,67,31,2
DJ Mike,10,nan,40692,,0,neutral,67,31,2
gilby123,10,"An Amazingly good, light-to-medium weight area control game.  For the most part, it's improved Vinci, which was also a very good game.  I particularly like some of the new powers and the addition of the attack die, as well as not having to be contiguous at turn's end. ",40692,,0.7679,positive,67,31,2
zarajess,10,"A wonderful game which has become the #1 hit in our game group. It is simple, deep, and smooth in a way that few games can achieve. Every game is tense and memorable.",40692,,0.3182,positive,67,31,2
Griffin09,10,nan,40692,,0,neutral,67,31,2
ihojin,10,nan,40692,,0,neutral,67,31,2
erichv,10,nan,40692,,0,neutral,67,31,2
lairdcj,10,nan,40692,,0,neutral,67,31,2
kissu,10,"An even better design than VINCI was.  A little bit ""overdesigned"".  A different piece for every event, The result is a rather high price. So just a 9 for an otherwise brilliant gamedesign.",40692,,0.7717,positive,67,31,2
HerrBishop,10,nan,40692,,0,neutral,67,31,2
awpeanut,10,Oh the elves! The Happy elves!!,40692,,0.6784,positive,67,31,2
Boofus,10,nan,40692,,0,neutral,67,31,2
volute,10,budapest,40692,,0,neutral,67,31,2
Me2d,10,nan,40692,,0,neutral,67,31,2
kunoichi50,10,After many plays I must change from a 9 to a 10. There is such a replayablity to this game and each time we play something new happens with the many combos. My Family and Friends love this game.,40692,,0.8934,positive,67,31,2
Spielfrosch,10,nan,40692,,0,neutral,67,31,2
cheesegrater,10,Love this game,40692,,0.6369,positive,67,31,2
Calcien,10,nan,40692,,0,neutral,67,31,2
shaugville,10,nan,40692,,0,neutral,67,31,2
HumbleSloth,10,nan,40692,,0,neutral,67,31,2
damoel,10,nan,40692,,0,neutral,67,31,2
termini,10,The strategies are different depending on what race and special power you're playing,40692,,0.5423,positive,67,31,2
TheFunkyPhantom,10,nan,40692,,0,neutral,67,31,2
Sutured,10,nan,40692,,0,neutral,67,31,2
Skywalker12,10,Great theme and artwork.  Good replayability due to changing races and abilities.  Very strategic while remaining simple to teach.  Superb!,40692,,0.9245,positive,67,31,2
lesjeuxdecksanddice,10,nan,40692,,0,neutral,67,31,2
decksanddice,10,nan,40692,,0,neutral,67,31,2
PowLdr,10,A must have!,40692,,0,neutral,67,31,2
Thrylos,10,"Nice, simple, fast, excellent components. A classic!",40692,,0.7777,positive,67,31,2
richardjarrell,10,nan,40692,,0,neutral,67,31,2
Andrew Parks,10,"After repeated plays, I've increased my rating from an ""8"" to a ""10"". The game has wonderful replay value, is very easy to teach, and is well-received by a variety of gaming audiences.",40692,,0.908,positive,67,31,2
Legomancer,10,"This was my [url=http://www.daveexmachina.com/wordpress/?p=3715]Game of the Year[/url] for 2009. Excellent redesign that simply triumphs over the original. For once, a fantasy theme actually helps the game. It's easy to teach, easy to learn, and plays smoothly at all player numbers without huge amounts of downtime.",40692,,0.9472,positive,67,31,2
Sharga,10,nan,40692,,0,neutral,67,31,2
Steve99,10,The game that I usually recommend as a first purchase to newcomers to the hobby.   Choosing your unique combinations of races and power traits 2 or 3 times throughout the game makes for a rich interactive history to enjoy. I doubt anyone will ever trade this away if they half have a soul.,40692,,0.7783,positive,67,31,2
Ryno8,10,"I already enjoyed Vinci, but have to say that this is much more accessible.  I like the added theme and the combinations that come up with the races.  The game is shorter than Vinci, but the planning has an added element to it due to the turn based end and the race combos can play heavily in the jockeying for points.",40692,,0.8367,positive,67,31,2
Robin,10,"Wonderfull game ! Quite easy to learn, but harder to master. Accessible to kids (9 y.o. up) as much as to adults. A lot of fun and not too long to play. DoW forum offers quick support for any rules questions. Four different maps, adapted to 2, 3, 4 and 5 players - and the different number of players generates different types of games. The race + ability combinations offer a constantly changing game. People are asking for extensions, less than two weeks after the game came out : a sign that it is a real blast.",40692,,0.9508,positive,67,31,2
diggad,10,nan,40692,,0,neutral,67,31,2
Soily,10,nan,40692,,0,neutral,67,31,2
Nasia,10,Simple yet deceptively challenging to win. Also fun,40692,,0.8271,positive,67,31,2
CoreySanders,10,"This is a fun and light game with excellent pieces. The artwork is fun and colorful, but creates something of a busy board that can be hard to read at a glance. The game play allows for decent strategy, but there is enough simplicity and luck that anyone can play. My friend got beat by his seven-year-old on their second time playing.",40692,,0.9732,positive,67,31,2
BionicleCaptain,10,nan,40692,,0,neutral,67,31,2
CBR14,10,nan,40692,,0,neutral,67,31,2
lando77,10,"me guuuuuuuuuuuuuuuuuuuuuuuuuuuusta! gran juego en el que guiaras a diferentes y fantasticas razas por un mundo en pos de riquezas, derrotando rivales por el camino y quedantote sus tierras, siempre y cuando no te canses de su cultura y quieras cambiar tus necrofagos por unas amazoas por ejemplo, ... suerte en tu periplo por este ""peque̱o"" gran juego ... ...destacar una cuidada presentacion ",40692,,-0.3595,negative,67,31,2
kaze,10,nan,40692,,0,neutral,67,31,2
SamwiseGamgeeBan,10,"Very, very, fun to play.",40692,,0.7604,positive,67,31,2
Parkaboy,10,nan,40692,,0,neutral,67,31,2
Ackbar117,10,nan,40692,,0,neutral,67,31,2
DarnCZ,10,Simple but great in its simplicity. You can explain rules in 5 minutes and start to play. I like it more and more with every game and even in our group it becomes more and more popular.  EDIT: With every game I like it more and more... changed from 9 to 10,40692,,0.9674,positive,67,31,2
Shawn_Kehoe,10,nan,40692,,0,neutral,67,31,2
Gargamel,10,nan,40692,,0,neutral,67,31,2
Mario Pawlowski,10,nan,14996,,0,neutral,66,32,2
Alan How,10,Better and tighter than the original,14996,,0.6369,positive,66,32,2
